
[236350.042293] [AOA] Measurement: 0,1627275716.283312,b8:69:f4:d5:81:5e,2,1,1,0,128,763,130,284,183,908,962,723,933,86,1020,828,336,777,859,69,260,964,791,933,119,998,743,561,748,926,960,926,462,55,591,282,491,63,38,20,16,47,25,26,38,28,36,31,25,36,33,21,23,25,23,21,15,19,15,37,16,19,19,13,9,18,21,12,9
[236350.066976] [AOA] Measurement: 0,1627275716.308003,b8:69:f4:d5:81:5e,2,1,1,0,128,154,902,266,175,997,35,298,130,608,162,340,533,340,34,611,483,434,994,894,62,970,743,536,771,946,1003,944,480,620,828,902,232,65,29,31,18,36,30,26,40,32,46,35,29,38,35,23,27,33,27,27,26,35,21,49,29,40,37,28,21,39,43,32,16
[236350.091470] [AOA] Measurement: 0,1627275716.332488,b8:69:f4:d5:81:5e,2,1,1,0,128,721,119,260,172,939,1022,290,89,613,183,837,301,774,854,41,257,944,812,420,238,573,993,1016,891,490,180,453,642,627,752,10,277,74,37,34,24,49,33,30,40,35,48,40,36,41,34,27,29,32,35,31,24,34,22,49,32,38,35,25,19,35,40,29,12
[236350.118088] [AOA] Measurement: 0,1627275716.359111,b8:69:f4:d5:81:5e,2,1,1,0,128,181,964,187,133,411,849,342,135,604,169,326,508,359,71,72,317,961,815,933,73,510,937,555,768,961,1014,917,459,63,579,617,984,70,33,35,34,50,37,35,48,37,58,47,42,45,48,35,41,48,44,39,31,53,43,64,56,47,52,47,36,59,51,48,27
[236350.143260] [AOA] Measurement: 0,1627275716.384286,b8:69:f4:d5:81:5e,2,1,1,0,128,776,128,749,282,318,801,712,880,72,989,878,346,762,871,114,313,426,971,812,0,986,736,87,966,973,999,530,625,586,747,809,219,64,34,28,21,47,27,24,39,29,39,36,30,37,32,21,23,32,31,24,16,29,19,42,26,33,27,26,16,30,33,22,8
[236350.174055] [AOA] Measurement: 0,1627275716.415080,b8:69:f4:d5:81:5e,2,1,1,0,128,158,938,273,189,408,830,687,868,39,980,859,327,760,879,126,312,543,11,855,41,974,751,499,728,961,8,847,425,117,620,425,727,72,35,38,22,49,33,30,40,34,51,44,36,44,41,26,30,39,36,29,25,43,25,53,40,44,44,34,24,43,43,30,10
[236350.197856] [AOA] Measurement: 0,1627275716.438874,b8:69:f4:d5:81:5e,2,1,1,0,128,742,146,796,370,350,788,785,915,42,2,384,566,808,899,98,324,445,1008,892,145,478,910,80,966,487,184,464,630,62,589,117,502,63,35,31,18,49,29,23,39,33,39,32,26,35,35,22,19,29,26,21,16,22,15,39,16,25,18,22,13,19,28,12,3
[236350.227971] [AOA] Measurement: 0,1627275716.468990,b8:69:f4:d5:81:5e,2,1,1,0,128,221,973,253,126,390,811,767,897,71,992,351,547,756,859,98,296,927,801,949,98,993,747,32,925,918,1001,994,470,642,792,115,367,68,33,33,29,46,33,36,43,32,51,39,39,35,38,31,37,39,31,31,28,41,33,56,49,48,49,42,34,52,51,47,31
[236350.249361] [AOA] Measurement: 0,1627275716.490385,b8:69:f4:d5:81:5e,2,1,1,0,128,177,969,249,143,342,793,777,966,621,181,391,501,788,866,84,344,914,771,923,107,935,775,540,723,984,1011,390,536,8,575,757,84,71,37,34,18,48,27,31,42,32,47,46,31,42,38,26,33,33,34,33,22,35,24,49,32,37,35,27,21,40,40,32,12
[236350.281187] [AOA] Measurement: 0,1627275716.522213,b8:69:f4:d5:81:5e,2,1,1,0,128,185,940,264,181,914,956,830,938,69,987,888,376,789,898,614,448,505,986,436,283,490,932,549,731,969,1016,902,358,57,574,669,78,69,32,34,30,48,34,33,46,39,51,43,41,39,38,29,34,45,36,34,27,41,28,56,46,48,46,37,25,47,54,43,17
