
[ 6235.284124] [AOA] Measurement: 0,1579997565.172843,08:55:31:9a:fe:a9,2,1,2,0,128,513,653,328,114,989,1013,288,907,331,674,531,717,97,370,347,818,731,525,553,881,627,991,919,1005,289,787,332,909,941,320,70,640,28,30,28,33,35,33,16,25,15,20,7,20,22,18,28,21,22,37,34,45,27,24,32,44,19,24,19,24,23,19,28,18
[ 6235.307154] [AOA] Measurement: 0,1579997565.195873,08:55:31:9a:fe:a9,2,1,2,0,128,990,403,810,1009,407,793,874,737,720,492,697,696,87,393,314,797,688,443,499,951,1014,761,316,754,847,669,744,706,395,138,216,837,32,40,38,52,43,34,17,22,27,32,15,29,31,24,29,19,17,42,49,57,30,24,28,43,28,23,20,21,23,22,25,15
[ 6235.339329] [AOA] Measurement: 0,1579997565.228048,08:55:31:9a:fe:a9,2,1,2,0,128,9,494,750,912,370,761,856,718,859,489,647,776,21,348,298,800,297,725,511,834,156,824,363,847,794,620,756,728,403,146,747,288,26,30,26,35,32,29,13,20,27,29,16,28,31,25,27,20,21,40,31,31,25,17,18,32,27,20,22,18,20,15,19,12
[ 6235.363814] [AOA] Measurement: 0,1579997565.252526,08:55:31:9a:fe:a9,2,1,2,0,128,558,694,313,118,970,975,398,940,748,451,634,742,66,353,860,986,749,539,454,836,98,783,369,831,813,679,793,736,466,206,583,52,29,27,31,34,35,32,15,26,17,21,7,24,23,21,30,20,21,40,37,50,27,28,32,49,19,19,18,26,23,17,30,16
[ 6235.395210] [AOA] Measurement: 0,1579997565.283921,08:55:31:9a:fe:a9,2,1,2,0,128,22,527,786,955,386,781,864,762,783,468,594,745,31,349,348,819,839,532,529,901,187,839,480,870,804,669,280,950,1021,367,10,570,29,36,36,48,39,31,16,21,24,30,17,28,29,22,30,20,17,43,45,53,26,23,27,38,24,23,18,21,22,20,20,13
[ 6235.424378] [AOA] Measurement: 0,1579997565.313090,08:55:31:9a:fe:a9,2,1,2,0,128,75,532,825,971,926,978,404,983,337,690,130,945,1018,341,878,966,323,726,532,898,722,1001,967,6,323,891,284,1009,1006,395,667,147,26,30,26,38,32,28,15,22,28,30,17,29,30,26,28,21,21,41,31,32,26,17,18,33,29,18,17,14,20,16,19,13
[ 6235.453876] [AOA] Measurement: 0,1579997565.342589,08:55:31:9a:fe:a9,2,1,2,0,128,527,662,783,925,454,842,834,735,837,472,142,959,573,552,351,767,782,538,561,862,153,845,387,816,781,609,778,716,466,199,272,862,27,30,25,38,34,29,12,22,25,29,18,28,30,23,27,22,17,38,28,31,21,15,16,28,25,16,16,15,17,18,16,9
[ 6235.482354] [AOA] Measurement: 0,1579997565.371072,08:55:31:9a:fe:a9,2,1,2,0,128,564,712,276,78,1002,1022,326,912,816,477,613,749,12,333,308,776,785,603,1020,3,710,24,928,1002,254,825,268,904,443,170,512,8,33,32,32,37,39,37,15,26,19,21,8,24,26,22,32,21,24,43,37,50,29,28,32,47,25,22,17,28,23,19,29,16
[ 6235.505330] [AOA] Measurement: 0,1579997565.394048,08:55:31:9a:fe:a9,2,1,2,0,128,560,687,790,924,457,797,832,762,804,498,168,985,603,593,852,977,730,520,538,866,167,871,366,793,834,671,735,672,542,192,147,659,29,32,36,45,35,28,12,18,25,31,13,27,28,20,27,21,19,42,43,49,27,19,27,41,27,24,19,19,22,20,18,14
[ 6235.536278] [AOA] Measurement: 0,1579997565.424990,08:55:31:9a:fe:a9,2,1,2,0,128,547,631,358,175,999,1010,340,861,291,683,152,882,601,566,946,52,180,604,1001,167,636,4,890,1001,373,853,299,948,949,381,134,591,30,32,29,35,35,35,14,24,14,19,10,23,22,20,29,20,22,42,36,46,26,27,30,50,21,21,17,27,25,19,29,18
