
[14052.090994] [AOA] Measurement: 0,1579956164.606152,08:55:31:9a:fe:a9,2,1,2,0,128,887,368,1001,434,1000,9,286,223,130,894,421,324,659,571,1013,58,55,83,121,177,13,883,697,724,625,765,586,351,613,514,372,565,57,49,26,45,46,48,28,41,39,43,26,39,32,36,33,38,57,37,47,49,32,34,35,37,50,62,62,50,60,61,48,30
[14052.112210] [AOA] Measurement: 0,1579956164.627370,08:55:31:9a:fe:a9,2,1,2,0,128,332,137,15,423,335,797,796,41,610,756,390,256,699,600,959,52,48,115,56,85,947,824,763,755,551,752,603,344,61,354,650,936,48,36,24,39,38,42,25,34,33,39,23,35,29,34,31,35,54,34,38,45,29,31,32,32,45,55,56,47,56,55,44,26
[14052.138325] [AOA] Measurement: 0,1579956164.653483,08:55:31:9a:fe:a9,2,1,2,0,128,860,347,59,460,908,1009,280,189,588,689,493,312,199,772,956,72,630,324,684,413,562,79,220,971,50,955,111,560,604,556,784,962,50,43,24,45,43,41,26,37,32,37,24,38,29,32,29,33,49,34,37,40,27,28,32,33,37,50,50,40,47,48,35,24
[14052.169853] [AOA] Measurement: 0,1579956164.685007,08:55:31:9a:fe:a9,2,1,2,0,128,377,172,421,221,376,805,769,28,668,720,445,310,233,802,481,217,589,283,91,114,0,862,752,754,535,755,557,305,13,346,236,395,53,48,26,46,47,44,22,36,33,38,24,36,28,32,28,32,52,35,42,45,29,30,33,30,36,45,47,35,44,42,36,22
[14052.196153] [AOA] Measurement: 0,1579956164.711314,08:55:31:9a:fe:a9,2,1,2,0,128,858,349,71,496,970,1003,376,238,206,966,1001,544,197,797,577,254,594,305,746,457,547,50,318,12,134,987,112,579,701,627,13,96,37,30,18,34,34,34,18,30,28,34,20,32,29,28,25,26,43,23,33,40,30,29,30,32,46,54,58,48,54,53,45,25
[14052.218139] [AOA] Measurement: 0,1579956164.733297,08:55:31:9a:fe:a9,2,1,2,0,128,850,370,991,421,974,10,249,142,690,757,911,434,731,639,959,5,603,258,128,179,523,26,724,770,89,976,18,457,604,578,814,950,56,44,27,44,48,48,26,39,42,44,28,39,36,36,35,39,59,41,47,50,35,35,37,36,46,57,63,50,60,57,50,24
[14052.246057] [AOA] Measurement: 0,1579956164.761211,08:55:31:9a:fe:a9,2,1,2,0,128,959,433,989,447,985,1000,303,195,151,939,1,512,271,808,554,277,551,240,727,451,546,31,192,937,586,772,566,354,83,343,784,34,48,44,25,41,40,41,22,35,32,35,22,32,30,30,26,34,51,35,35,40,27,28,31,32,39,55,48,45,47,48,33,18
[14052.275765] [AOA] Measurement: 0,1579956164.790919,08:55:31:9a:fe:a9,2,1,2,0,128,783,324,1018,419,930,17,311,204,674,753,472,268,684,604,1006,44,24,60,702,436,473,7,225,948,93,950,59,551,614,535,900,12,58,50,30,47,47,46,24,39,35,41,22,37,32,35,32,36,55,38,41,46,29,32,38,36,44,49,55,46,51,53,41,22
[14052.302373] [AOA] Measurement: 0,1579956164.817532,08:55:31:9a:fe:a9,2,1,2,0,128,914,391,33,469,921,11,257,158,636,733,390,311,676,566,1000,113,619,284,132,197,982,851,762,813,111,1007,83,531,658,610,326,439,52,45,21,40,40,42,23,33,29,33,19,28,27,28,27,34,50,34,38,42,26,31,29,29,35,51,49,39,45,45,35,21
[14052.323748] [AOA] Measurement: 0,1579956164.838909,08:55:31:9a:fe:a9,2,1,2,0,128,865,361,427,227,922,985,294,184,616,729,923,479,624,564,545,284,586,247,163,217,557,43,262,1008,148,980,44,509,612,552,876,41,57,50,31,48,44,45,24,39,32,41,24,36,31,36,30,36,56,40,39,42,28,28,34,33,41,55,61,43,54,51,39,22
[14052.352022] [AOA] Measurement: 0,1579956164.867176,08:55:31:9a:fe:a9,2,1,2,0,128,897,376,1003,422,999,17,258,213,190,969,899,453,211,764,957,37,549,248,649,374,556,69,182,935,102,963,459,260,984,285,814,175,49,36,24,40,39,40,26,33,32,36,23,37,30,29,27,31,49,34,36,42,31,31,31,33,42,55,57,45,53,55,42,24
