
[ 269.002385] wil6210-aoa$0,1606494925.550747,04:d6:aa:c1:38:97,2,1,1,2,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41987,40,42023,0,17218,64,12898,16,302,56584,20495,39535,279,9,1031,43734,14529,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[ 269.035367] wil6210-aoa$0,1606494925.583732,04:d6:aa:c1:38:97,2,1,1,0,128,530,486,259,46,13,1005,440,857,444,789,225,926,107,463,968,45,114,490,901,80,714,74,806,38,413,977,861,822,86,524,278,746,96,92,89,88,89,88,88,80,91,89,70,93,94,86,88,91,94,92,98,67,90,89,91,93,88,89,87,88,87,93,91,85
[ 269.065823] wil6210-aoa$0,1606494925.614189,04:d6:aa:c1:38:97,2,1,1,0,128,570,532,293,60,10,1002,442,815,460,817,291,961,681,677,1009,28,130,480,884,27,124,894,891,44,451,968,398,985,49,500,120,627,102,100,96,96,96,94,92,86,96,96,76,95,99,91,94,92,95,97,102,68,92,86,96,95,92,95,91,90,92,97,89,84
[ 269.102441] wil6210-aoa$0,1606494925.650809,04:d6:aa:c1:38:97,2,1,1,0,128,490,475,282,67,4,1004,459,824,433,784,290,957,633,653,989,46,136,507,920,56,681,10,803,3,864,752,875,815,574,296,920,394,103,100,99,99,99,97,93,85,97,97,80,100,102,95,99,99,102,98,106,76,100,96,100,104,97,101,93,96,98,101,100,94
[ 269.134059] wil6210-aoa$0,1606494925.682427,04:d6:aa:c1:38:97,2,1,1,0,128,972,262,735,899,998,988,895,586,958,645,332,974,671,683,1000,89,116,490,992,102,626,1020,272,843,874,772,380,1020,67,516,740,242,95,93,90,90,90,90,86,81,91,90,71,89,92,88,89,88,92,89,96,66,87,88,91,95,89,91,85,87,89,92,92,87
[ 269.171341] wil6210-aoa$0,1606494925.719702,04:d6:aa:c1:38:97,2,1,1,0,128,1019,299,199,12,46,35,492,888,449,818,352,1002,582,604,985,13,150,501,899,39,685,87,924,81,431,939,418,36,26,472,747,235,95,95,90,90,90,92,89,83,92,92,73,94,95,89,92,92,95,92,99,69,91,89,95,98,90,91,89,89,91,93,92,86
[ 269.210964] wil6210-aoa$0,1606494925.759328,04:d6:aa:c1:38:97,2,1,1,0,128,507,478,160,1019,970,984,429,824,529,891,254,933,649,667,988,18,161,532,952,71,707,86,860,41,509,1011,381,992,109,532,113,629,96,92,88,91,92,90,87,81,91,90,72,92,94,87,91,91,94,91,95,69,89,90,92,95,89,91,87,89,88,94,89,86
[ 269.246013] wil6210-aoa$0,1606494925.794373,04:d6:aa:c1:38:97,2,1,1,0,128,538,452,285,81,13,1023,465,851,406,781,301,991,683,654,997,66,142,478,961,83,703,47,865,86,393,920,436,30,41,502,353,784,96,91,90,89,93,91,85,83,89,89,72,92,93,86,92,90,93,90,96,70,93,90,93,97,87,92,86,89,91,93,94,87
[ 269.282099] wil6210-aoa$0,1606494925.830467,04:d6:aa:c1:38:97,2,1,1,0,128,528,455,257,62,971,968,932,653,385,778,806,822,58,427,510,930,148,511,377,885,690,60,342,915,889,716,867,813,85,530,996,568,102,98,97,97,97,98,96,87,98,97,78,100,101,94,98,99,101,95,105,74,98,97,100,100,96,97,90,93,95,98,98,93
[ 269.313606] wil6210-aoa$0,1606494925.861972,04:d6:aa:c1:38:97,2,1,1,0,128,1017,293,213,23,6,10,406,820,435,787,293,942,648,655,960,1013,68,458,376,880,190,923,874,42,409,933,864,811,537,293,765,332,96,95,92,91,91,91,89,80,91,91,72,94,93,87,92,93,94,91,98,70,92,89,93,96,88,93,86,91,90,94,94,88
[ 269.350661] wil6210-aoa$0,1606494925.899023,04:d6:aa:c1:38:97,2,1,1,0,128,516,493,261,76,981,1001,510,883,460,843,317,952,111,490,961,17,605,291,992,83,689,83,845,56,446,975,436,42,54,521,948,400,96,91,91,90,89,87,88,80,91,92,70,90,93,87,89,90,91,90,98,68,89,88,91,95,88,93,85,90,90,93,92,86
[ 269.381103] wil6210-aoa$0,1606494925.929468,04:d6:aa:c1:38:97,2,1,1,0,128,594,537,709,889,421,752,964,639,407,765,315,984,619,639,985,45,190,518,901,87,662,61,925,93,462,968,328,997,545,322,781,251,98,94,91,90,94,90,87,81,92,91,72,93,93,89,93,94,94,92,99,68,88,88,92,93,90,92,86,86,91,93,90,85
[ 269.417482] wil6210-aoa$0,1606494925.965848,04:d6:aa:c1:38:97,2,1,1,0,128,594,528,292,82,1017,6,429,841,433,790,321,970,675,674,35,115,135,545,974,116,644,13,879,34,443,950,327,988,551,295,797,337,95,91,89,92,91,92,87,80,90,92,73,92,94,87,92,93,94,89,97,71,90,88,94,95,90,90,86,89,91,93,90,86
[ 269.452547] wil6210-aoa$0,1606494926.000907,04:d6:aa:c1:38:97,2,1,1,0,128,545,487,245,78,58,20,463,869,472,823,285,950,592,611,416,881,179,543,964,111,671,46,872,89,364,928,361,1008,127,556,770,164,102,100,96,96,96,98,93,88,97,96,78,100,100,95,96,100,103,97,103,75,99,96,100,104,96,99,92,97,96,100,98,95
[ 269.484652] wil6210-aoa$0,1606494926.033017,04:d6:aa:c1:38:97,2,1,1,0,128,541,497,248,57,3,1017,379,806,531,860,333,983,596,639,954,31,115,502,359,912,149,874,335,900,950,779,907,850,59,490,518,998,92,90,88,89,87,87,88,80,91,89,72,90,95,87,90,91,93,90,95,66,88,85,88,90,88,90,85,84,85,92,87,82
[ 269.521385] wil6210-aoa$0,1606494926.069745,04:d6:aa:c1:38:97,2,1,1,0,128,7,304,231,41,1009,1007,468,842,459,781,356,987,99,469,1008,60,128,462,942,66,695,69,846,59,466,957,404,974,31,472,52,469,103,99,96,96,95,96,93,87,98,97,77,96,101,95,96,100,101,98,104,73,96,95,99,99,94,97,91,95,94,100,96,92
[ 269.556724] wil6210-aoa$0,1606494926.105093,04:d6:aa:c1:38:97,2,1,1,0,128,565,479,300,96,964,970,479,846,489,818,380,30,665,674,928,53,78,456,947,90,688,66,886,85,484,991,454,72,94,531,465,941,96,93,91,87,89,89,85,81,91,89,72,92,94,86,89,89,91,90,96,67,87,83,87,92,88,88,82,87,86,91,85,81
[ 269.588747] wil6210-aoa$0,1606494926.137107,04:d6:aa:c1:38:97,2,1,1,0,128,592,529,205,11,1014,995,890,629,913,607,757,774,131,462,427,869,634,307,926,16,131,868,351,904,406,919,878,810,583,324,701,160,98,95,93,92,91,92,88,81,92,92,72,92,96,87,93,93,96,90,99,68,89,88,91,93,88,91,86,88,87,91,88,84
[ 269.629445] wil6210-aoa$0,1606494926.177806,04:d6:aa:c1:38:97,2,1,1,0,128,952,260,697,835,489,849,454,828,918,637,313,973,595,634,1010,86,97,463,939,51,136,858,342,903,439,946,417,1015,535,277,686,236,102,98,96,95,96,92,91,86,97,96,77,97,99,93,96,96,96,95,101,68,93,89,93,97,92,95,90,89,91,96,94,87
[ 269.670413] wil6210-aoa$0,1606494926.218774,04:d6:aa:c1:38:97,2,1,1,0,128,568,501,244,39,59,30,492,851,510,845,266,954,745,716,938,22,139,468,909,5,708,47,935,46,472,950,354,1019,74,458,1,515,96,92,91,87,90,87,84,78,93,89,70,89,94,85,87,89,90,91,92,60,80,79,84,85,84,83,81,75,79,85,74,71
[ 269.710359] wil6210-aoa$0,1606494926.258720,04:d6:aa:c1:38:97,2,1,1,0,128,568,467,320,135,992,974,514,873,490,817,330,1006,618,667,967,30,150,521,959,53,654,2,346,879,900,731,862,791,569,302,533,100,103,100,98,97,99,98,95,87,99,98,77,99,101,95,98,98,100,98,104,69,95,92,96,98,95,97,91,91,92,100,94,90
[ 269.745675] wil6210-aoa$0,1606494926.294043,04:d6:aa:c1:38:97,2,1,1,0,128,1008,277,734,865,520,824,492,844,928,583,827,810,628,627,978,39,577,288,380,927,132,855,275,867,858,728,434,4,59,482,103,531,100,96,96,95,95,95,92,85,95,95,77,100,100,92,98,98,99,96,102,74,96,94,99,104,94,97,91,93,93,99,100,93
[ 269.782236] wil6210-aoa$0,1606494926.330602,04:d6:aa:c1:38:97,2,1,1,0,128,589,522,201,4,1,1003,416,832,433,809,402,27,605,633,957,23,135,524,893,40,191,913,360,900,874,755,844,790,598,333,733,290,102,99,94,95,97,95,92,86,98,95,76,96,100,92,96,97,100,96,103,75,95,94,98,103,94,99,92,94,94,100,99,92
[ 269.813504] wil6210-aoa$0,1606494926.361871,04:d6:aa:c1:38:97,2,1,1,0,128,28,350,750,906,13,991,940,668,443,803,261,950,648,645,416,868,576,258,348,850,155,873,365,883,451,963,432,991,50,484,99,648,102,99,97,94,97,94,91,85,96,94,75,95,99,90,95,97,97,96,99,69,94,88,94,96,91,94,87,90,90,96,90,84
[ 269.844416] wil6210-aoa$0,1606494926.392784,04:d6:aa:c1:38:97,2,1,1,0,128,562,486,219,9,996,986,441,808,529,831,299,948,674,702,939,22,160,477,926,73,736,90,820,31,457,938,367,1004,63,501,128,676,101,95,93,94,94,95,91,85,94,96,73,98,96,88,98,97,98,91,100,75,97,96,99,102,92,96,85,95,94,96,99,90
[ 269.875685] wil6210-aoa$0,1606494926.424053,04:d6:aa:c1:38:97,2,1,1,0,128,498,458,260,58,0,16,462,870,457,812,276,984,612,615,948,24,155,516,972,131,698,75,803,18,370,921,385,1002,50,504,896,359,102,97,95,96,95,95,93,84,97,96,76,99,102,93,96,98,101,96,103,73,94,95,100,100,94,96,90,94,93,98,95,90
[ 269.912733] wil6210-aoa$0,1606494926.461102,04:d6:aa:c1:38:97,2,1,1,0,128,519,465,647,830,502,827,507,871,444,811,790,825,639,617,996,70,149,501,889,31,680,37,333,849,928,750,852,803,506,267,309,814,102,100,95,97,95,96,89,85,96,96,77,98,100,91,98,98,98,95,104,74,98,96,99,102,93,95,90,92,96,101,98,90
[ 269.944351] wil6210-aoa$0,1606494926.492718,04:d6:aa:c1:38:97,2,1,1,0,128,1015,302,244,44,15,1019,455,825,497,836,281,968,654,667,944,44,167,506,938,66,751,58,795,0,439,918,371,1018,537,334,192,778,100,97,96,98,95,96,93,84,95,95,75,96,101,91,97,96,99,96,104,73,94,92,97,100,93,95,89,92,93,99,95,89
[ 269.981541] wil6210-aoa$0,1606494926.529909,04:d6:aa:c1:38:97,2,1,1,0,128,570,499,270,86,984,978,431,824,529,864,324,954,679,679,1001,47,156,508,949,92,702,64,863,51,426,924,452,37,26,514,70,521,99,99,94,92,94,92,90,83,97,93,76,95,99,91,97,96,98,92,102,69,93,92,94,98,93,93,90,90,92,98,93,89
[ 270.012046] wil6210-aoa$0,1606494926.560411,04:d6:aa:c1:38:97,2,1,1,0,128,505,455,257,82,1012,966,499,904,911,618,822,821,644,647,989,40,188,540,995,91,742,142,847,74,429,963,396,1013,1,451,466,969,101,99,93,92,92,95,90,84,96,96,75,98,98,92,95,95,100,96,101,71,94,95,97,99,93,97,89,93,93,100,95,90
[ 270.043326] wil6210-aoa$0,1606494926.591695,04:d6:aa:c1:38:97,2,1,1,0,128,467,423,797,908,0,1001,494,864,461,801,293,942,614,621,7,71,86,454,934,74,651,43,860,6,899,740,429,26,13,474,230,629,101,97,94,94,94,95,90,83,95,93,74,98,99,89,96,97,98,94,103,73,94,93,97,100,93,93,88,92,91,98,96,89
[ 270.074146] wil6210-aoa$0,1606494926.622514,04:d6:aa:c1:38:97,2,1,1,0,128,550,531,266,22,1,983,461,820,431,776,739,743,88,431,1005,28,96,465,398,929,684,31,895,40,411,946,353,987,93,528,145,600,106,100,97,94,95,95,91,85,96,95,75,100,100,92,95,96,100,97,103,73,95,93,98,101,95,97,90,94,95,102,99,90
[ 270.107499] wil6210-aoa$0,1606494926.655860,04:d6:aa:c1:38:97,2,1,1,0,128,555,511,280,75,37,9,444,807,504,853,282,975,19,385,1013,20,156,509,972,103,663,17,894,62,415,955,412,2,85,507,7,360,103,97,97,97,97,97,93,85,96,96,76,97,99,91,98,96,101,96,102,73,96,96,97,103,93,96,89,95,96,100,99,93
[ 270.145791] wil6210-aoa$0,1606494926.694156,04:d6:aa:c1:38:97,2,1,1,0,128,502,439,730,882,417,756,979,648,905,571,816,827,78,477,965,13,157,475,982,56,648,8,325,885,874,736,868,840,9,470,71,638,101,96,96,93,95,96,93,86,96,95,75,97,97,93,95,95,99,95,101,72,93,91,96,98,92,94,89,92,92,96,93,87
[ 270.181555] wil6210-aoa$0,1606494926.729920,04:d6:aa:c1:38:97,2,1,1,0,128,999,286,675,812,473,823,920,640,430,817,300,949,72,467,411,859,587,292,410,895,711,91,841,58,419,958,417,5,589,338,345,830,93,92,88,86,89,85,84,78,90,88,69,89,93,84,89,87,91,88,95,64,83,80,86,90,84,88,81,80,82,89,79,76
[ 270.212351] wil6210-aoa$0,1606494926.760716,04:d6:aa:c1:38:97,2,1,1,0,128,543,484,228,36,996,1000,904,634,1006,667,286,958,619,647,969,37,153,492,978,86,685,71,839,36,430,945,869,827,569,332,166,704,99,100,96,94,97,95,91,84,97,95,74,96,101,90,95,96,96,97,101,68,93,89,94,98,92,94,89,93,92,97,91,87
[ 270.243717] wil6210-aoa$0,1606494926.792083,04:d6:aa:c1:38:97,2,1,1,0,128,468,451,264,87,433,801,892,618,513,796,303,940,672,634,393,864,94,472,938,87,133,897,858,35,487,1009,363,996,36,484,1023,486,103,101,95,93,97,98,92,86,99,97,75,95,100,93,94,94,97,94,101,67,92,89,93,96,93,92,88,88,89,96,88,82
[ 270.279986] wil6210-aoa$0,1606494926.828347,04:d6:aa:c1:38:97,2,1,1,0,128,1003,246,770,884,483,812,402,810,918,589,791,793,52,426,429,843,101,436,409,919,152,907,855,29,892,750,880,834,520,328,150,716,104,99,98,96,96,96,93,86,97,97,78,97,101,94,98,99,100,97,104,74,95,93,98,102,92,96,90,95,92,99,97,90
[ 270.311473] wil6210-aoa$0,1606494926.859837,04:d6:aa:c1:38:97,2,1,1,0,128,481,479,221,24,1003,980,920,619,444,817,307,973,598,632,3,59,106,466,939,77,667,45,890,79,382,948,351,993,109,541,617,69,97,90,87,90,88,89,86,79,89,92,71,91,92,86,90,91,95,88,98,70,90,89,92,95,90,92,86,89,90,94,93,88
