
[ 212.830247] wil6210-aoa$0,1606484706.421959,04:d6:aa:ab:45:40,2,1,1,0,128,36,677,424,664,958,980,827,118,655,652,351,281,1005,390,366,875,714,651,40,667,117,940,503,998,540,581,449,333,337,170,366,299,43,38,27,31,37,41,34,38,37,40,24,44,38,31,45,37,65,46,42,42,46,36,39,52,42,36,38,41,43,46,49,50
[ 212.867462] wil6210-aoa$0,1606484706.459169,04:d6:aa:ab:45:40,2,1,1,0,128,1020,620,416,611,374,779,839,111,581,571,431,335,999,398,340,877,622,588,511,443,3,886,925,801,572,625,433,316,423,206,298,182,54,58,36,33,48,52,38,54,50,46,22,47,49,37,50,40,66,61,46,31,41,29,29,48,41,31,40,34,33,37,41,41
[ 212.899644] wil6210-aoa$0,1606484706.491351,04:d6:aa:ab:45:40,2,1,1,0,128,105,709,332,576,947,966,379,311,560,547,459,330,958,361,407,926,687,629,104,679,611,100,470,974,528,586,444,341,365,157,800,790,51,56,32,29,44,51,35,50,47,41,20,43,42,33,44,35,61,57,41,27,37,28,30,47,37,29,38,32,30,35,41,39
[ 212.941046] wil6210-aoa$0,1606484706.532749,04:d6:aa:ab:45:40,2,1,1,0,128,103,706,432,621,939,987,420,307,583,579,357,296,952,377,317,841,672,626,74,671,539,71,490,989,519,572,543,358,391,197,20,918,59,62,38,38,55,61,42,58,56,52,29,56,54,44,58,47,80,70,55,47,53,39,43,62,52,43,51,46,47,52,56,55
[ 212.981034] wil6210-aoa$0,1606484706.572742,04:d6:aa:ab:45:40,2,1,1,0,128,87,719,371,598,983,997,361,312,622,603,422,294,936,344,802,658,773,677,51,635,596,58,497,1023,449,528,479,348,430,189,166,27,59,60,39,41,54,59,45,58,54,53,28,56,53,42,60,48,84,68,55,47,54,43,44,66,51,43,52,49,50,52,59,56
[ 213.016047] wil6210-aoa$0,1606484706.607753,04:d6:aa:ab:45:40,2,1,1,0,128,82,683,349,522,1000,1005,408,353,631,580,337,226,486,233,283,852,769,669,1013,606,566,79,539,15,484,542,888,123,875,1017,357,377,57,61,38,37,53,58,42,59,53,50,27,50,50,40,55,43,77,69,52,41,48,36,39,59,48,37,48,41,42,46,49,49
[ 213.052498] wil6210-aoa$0,1606484706.644208,04:d6:aa:ab:45:40,2,1,1,0,128,96,670,385,593,915,952,448,363,576,556,377,269,977,393,312,862,765,708,10,656,566,90,513,16,573,634,499,373,812,999,509,499,61,62,40,38,53,60,44,59,56,51,27,53,51,42,58,47,81,70,55,45,54,40,44,62,52,42,50,45,47,51,57,54
[ 213.083566] wil6210-aoa$0,1606484706.675275,04:d6:aa:ab:45:40,2,1,1,0,128,125,666,381,595,958,1014,303,254,33,384,830,73,381,158,816,622,180,488,508,432,19,871,475,965,561,524,921,116,840,1023,434,493,59,60,38,39,53,58,44,58,55,51,27,53,52,40,55,45,77,68,53,41,50,39,39,60,50,40,50,45,45,50,53,53
[ 213.119875] wil6210-aoa$0,1606484706.711586,04:d6:aa:ab:45:40,2,1,1,0,128,551,485,422,581,918,985,469,351,618,594,304,242,17,426,240,765,198,449,516,464,538,56,458,942,515,576,451,334,800,983,580,668,57,55,38,41,51,58,44,57,55,52,29,59,53,44,60,48,85,66,56,52,58,46,47,65,54,46,51,51,51,54,62,60
[ 213.151129] wil6210-aoa$0,1606484706.742838,04:d6:aa:ab:45:40,2,1,1,0,128,55,682,388,579,347,780,890,108,581,552,372,281,393,175,819,626,219,454,74,692,544,29,510,970,976,388,839,78,837,0,701,716,50,58,30,30,46,47,34,50,48,41,20,42,41,33,46,38,61,58,43,29,38,28,28,46,40,31,39,32,32,36,41,39
[ 213.187130] wil6210-aoa$0,1606484706.778840,04:d6:aa:ab:45:40,2,1,1,0,128,66,644,456,654,960,999,370,262,616,617,339,228,24,428,384,900,769,674,67,696,567,57,489,989,539,583,483,318,420,219,784,682,56,52,39,39,50,55,43,54,52,51,29,56,51,41,58,48,84,66,55,52,58,42,46,67,54,45,52,51,52,54,61,58
[ 213.222387] wil6210-aoa$0,1606484706.814093,04:d6:aa:ab:45:40,2,1,1,0,128,78,680,362,571,997,17,364,293,581,598,377,298,1014,375,299,812,204,490,36,657,604,72,485,996,543,605,415,285,871,29,62,59,53,60,34,33,51,52,37,54,51,46,22,47,47,37,50,38,67,64,46,32,42,32,33,50,42,32,42,34,34,37,42,41
[ 213.259084] wil6210-aoa$0,1606484706.850794,04:d6:aa:ab:45:40,2,1,1,0,128,112,762,472,673,948,984,433,360,583,599,440,343,24,491,278,807,754,632,16,575,570,50,482,977,597,601,461,327,363,186,24,998,53,46,34,36,46,53,41,49,44,45,27,51,45,37,54,43,78,58,49,47,54,43,44,61,46,41,46,48,49,50,58,55
[ 213.295721] wil6210-aoa$0,1606484706.887431,04:d6:aa:ab:45:40,2,1,1,0,128,632,526,896,456,962,993,392,285,673,643,366,306,960,360,265,829,675,640,530,453,30,882,542,2,538,576,455,292,349,210,140,51,64,69,44,42,60,66,48,65,64,56,30,60,56,47,63,49,84,76,59,44,54,42,43,64,56,43,51,47,46,52,58,53
[ 213.332633] wil6210-aoa$0,1606484706.924339,04:d6:aa:ab:45:40,2,1,1,0,128,65,662,430,614,972,993,410,306,627,605,435,341,7,440,347,867,697,643,1000,620,48,936,472,995,589,641,484,324,438,244,284,166,53,59,36,32,48,54,37,54,50,46,24,48,48,37,53,41,70,63,50,34,42,32,34,53,46,35,42,37,38,43,45,43
[ 213.367346] wil6210-aoa$0,1606484706.959056,04:d6:aa:ab:45:40,2,1,1,0,128,46,692,385,605,894,951,902,147,21,328,918,134,965,378,386,861,725,599,469,425,14,883,989,828,953,312,483,331,386,167,43,991,58,60,36,36,53,56,41,56,52,48,25,51,51,41,55,44,73,67,51,40,48,35,36,57,48,37,48,41,42,45,49,48
[ 213.403803] wil6210-aoa$0,1606484706.995512,04:d6:aa:ab:45:40,2,1,1,0,128,588,501,419,616,918,957,366,325,649,583,362,291,964,372,398,888,718,655,103,682,603,109,434,915,533,610,451,359,443,220,275,231,52,58,32,30,48,51,35,51,50,44,23,42,44,34,48,37,64,60,44,32,38,28,29,47,41,32,38,33,32,37,39,37
