
[ 833.701397] wil6210-aoa$0,1606469383.235212,04:d6:aa:6b:1f:f3,2,1,1,0,128,43,668,377,647,40,11,312,357,791,687,478,421,91,504,364,953,643,579,356,447,603,974,384,984,680,661,577,318,308,199,941,945,40,35,16,38,48,48,27,34,41,43,32,56,43,39,48,34,32,21,17,26,17,20,9,30,33,41,38,30,29,46,35,32
[ 833.732677] wil6210-aoa$0,1606469383.266495,04:d6:aa:6b:1f:f3,2,1,1,0,128,988,633,361,627,14,1007,735,134,772,665,896,182,94,505,455,1014,700,686,913,635,513,931,466,29,689,644,579,367,290,149,469,267,48,40,18,45,58,59,30,41,55,58,40,74,53,49,59,46,44,24,24,30,22,26,10,39,46,55,49,39,44,53,43,44
[ 833.764272] wil6210-aoa$0,1606469383.298088,04:d6:aa:6b:1f:f3,2,1,1,0,128,517,493,802,398,40,1015,341,378,787,692,408,376,147,538,378,996,136,469,978,734,574,982,430,1016,666,645,518,318,801,1020,914,948,35,32,15,37,45,46,22,31,42,43,28,57,42,38,47,34,32,17,15,22,16,20,8,27,34,40,37,30,33,43,36,33
[ 833.800400] wil6210-aoa$0,1606469383.334211,04:d6:aa:6b:1f:f3,2,1,1,0,128,979,616,435,654,15,992,359,339,752,693,494,427,29,455,890,808,667,624,413,519,503,919,895,783,70,417,999,90,289,211,176,44,42,33,13,35,39,41,18,33,43,48,22,47,40,38,34,34,30,13,20,20,15,16,8,21,31,34,29,23,28,27,21,28
[ 833.837395] wil6210-aoa$0,1606469383.371211,04:d6:aa:6b:1f:f3,2,1,1,0,128,5,650,830,432,22,974,304,348,708,634,873,218,524,257,423,965,167,489,1014,719,553,949,476,2,600,572,568,390,261,158,950,880,33,29,14,37,41,43,22,28,37,39,28,50,39,34,43,29,31,19,15,20,14,18,7,25,32,36,34,26,26,42,33,30
[ 833.875137] wil6210-aoa$0,1606469383.408953,04:d6:aa:6b:1f:f3,2,1,1,0,128,532,475,359,612,12,995,372,414,720,644,873,196,563,315,864,786,142,499,983,698,502,944,874,811,101,440,951,87,772,1008,499,525,36,31,13,38,45,46,22,29,43,45,30,54,43,37,47,34,32,19,17,22,16,18,8,28,34,39,38,31,31,43,36,35
[ 833.912459] wil6210-aoa$0,1606469383.446272,04:d6:aa:6b:1f:f3,2,1,1,0,128,26,667,425,669,464,790,828,143,725,666,870,159,560,316,437,20,754,703,939,657,972,699,909,813,13,352,11,125,389,195,883,805,36,31,13,37,44,46,23,31,38,41,29,53,41,36,47,32,29,18,16,22,15,17,7,27,32,38,37,30,30,41,34,33
[ 833.948185] wil6210-aoa$0,1606469383.481998,04:d6:aa:6b:1f:f3,2,1,1,0,128,55,727,395,637,476,790,382,401,772,652,391,342,492,208,882,803,123,444,413,481,524,915,905,825,658,630,568,350,206,92,268,295,36,32,14,39,44,48,23,30,40,42,30,55,41,34,48,33,31,19,16,22,16,17,8,29,35,39,38,30,31,47,36,33
[ 833.984198] wil6210-aoa$0,1606469383.518013,04:d6:aa:6b:1f:f3,2,1,1,0,128,57,681,431,675,12,999,378,372,765,671,415,359,52,471,346,968,683,667,993,705,552,952,438,1001,620,623,531,380,254,143,774,775,34,31,14,35,43,43,23,29,37,38,28,52,39,34,45,30,30,19,16,21,15,17,6,25,32,36,36,28,29,41,33,30
[ 834.015890] wil6210-aoa$0,1606469383.549706,04:d6:aa:6b:1f:f3,2,1,1,0,128,44,682,434,688,39,993,367,373,789,684,401,354,88,506,399,975,735,684,930,677,561,943,450,1001,616,609,578,367,344,163,59,972,41,31,14,35,39,41,17,32,41,47,23,50,39,38,36,37,32,12,20,20,14,17,6,22,30,36,32,23,29,28,25,29
[ 834.052994] wil6210-aoa$0,1606469383.586807,04:d6:aa:6b:1f:f3,2,1,1,0,128,64,687,416,653,7,958,349,349,735,647,815,124,560,280,874,782,677,648,948,664,581,955,917,835,1,391,958,94,302,174,136,30,42,33,15,36,40,41,18,32,45,46,23,48,38,36,35,35,29,12,17,18,13,16,8,20,28,30,29,20,26,25,20,26
[ 834.088686] wil6210-aoa$0,1606469383.622503,04:d6:aa:6b:1f:f3,2,1,1,0,128,479,459,829,430,461,798,321,321,768,669,411,342,106,519,373,959,148,432,461,480,584,962,414,956,615,663,555,356,288,136,220,201,31,29,13,35,43,43,22,28,35,37,28,49,37,32,43,29,28,17,15,20,13,17,8,23,29,35,34,26,25,40,31,29
[ 834.126493] wil6210-aoa$0,1606469383.660309,04:d6:aa:6b:1f:f3,2,1,1,0,128,511,473,431,672,37,1016,380,384,784,669,422,386,101,518,412,981,665,658,956,647,548,933,453,1015,591,576,559,369,275,146,111,1005,32,29,14,35,40,42,20,28,33,37,26,48,37,32,43,27,28,18,16,20,12,16,6,23,28,32,33,26,25,39,30,28
[ 834.163923] wil6210-aoa$0,1606469383.697739,04:d6:aa:6b:1f:f3,2,1,1,0,128,59,620,261,546,58,11,324,295,902,731,510,382,115,567,382,1015,612,474,923,572,476,951,254,994,758,706,658,397,407,228,911,694,34,29,13,37,43,45,23,30,39,42,29,52,42,38,46,33,31,18,18,21,16,18,6,27,36,41,37,28,31,43,34,33
