
[ 112.881709] wil6210-aoa$0,1606469756.009676,04:d6:aa:c1:38:97,2,1,1,0,128,327,395,968,984,93,3,295,862,563,813,388,921,792,849,465,930,958,850,551,542,601,643,636,688,849,688,322,894,709,322,831,426,37,24,27,29,26,36,23,38,30,41,25,34,42,34,49,28,29,13,23,2,14,16,5,34,24,24,32,27,9,16,20,30
[ 112.912178] wil6210-aoa$0,1606469756.040143,04:d6:aa:c1:38:97,2,1,1,0,128,344,452,981,1011,90,1013,261,879,546,756,904,803,823,821,3,124,922,783,594,488,213,819,244,905,267,812,392,961,656,307,297,969,29,23,21,26,29,33,13,32,24,25,13,23,33,27,32,24,22,10,31,12,24,11,17,18,6,9,11,14,25,14,19,6
[ 112.935133] wil6210-aoa$0,1606469756.063102,04:d6:aa:c1:38:97,2,1,1,0,128,322,395,405,803,54,985,289,877,657,897,455,986,790,851,4,100,964,870,573,570,162,811,171,911,317,808,426,953,620,378,115,662,32,20,25,28,23,37,18,40,28,40,21,36,37,28,46,30,23,16,21,7,11,14,6,34,23,24,30,25,6,15,22,31
[ 112.965136] wil6210-aoa$0,1606469756.093106,04:d6:aa:c1:38:97,2,1,1,0,128,371,407,942,1001,114,19,175,831,606,843,387,953,780,836,961,59,948,810,580,491,260,871,258,891,370,875,360,871,628,327,169,754,30,16,16,23,22,32,18,32,24,38,22,28,35,28,39,24,25,14,14,6,8,14,7,31,22,21,24,23,8,14,19,31
[ 112.986990] wil6210-aoa$0,1606469756.114960,04:d6:aa:c1:38:97,2,1,1,0,128,363,443,944,977,115,996,245,861,636,819,474,994,785,849,971,97,959,791,603,525,182,831,150,910,306,847,381,942,614,308,888,534,32,18,20,27,22,33,19,34,28,38,20,29,33,27,43,27,27,16,19,6,11,17,6,30,19,21,25,24,7,15,20,27
[ 113.016544] wil6210-aoa$0,1606469756.144509,04:d6:aa:c1:38:97,2,1,1,0,128,410,425,86,995,127,1021,350,897,579,843,473,910,776,849,1003,80,951,18,619,636,127,847,263,827,369,843,338,837,515,26,463,46,25,16,20,24,22,33,19,38,20,37,20,32,32,28,43,22,20,17,15,11,12,13,10,26,20,22,25,22,10,12,21,31
[ 113.044969] wil6210-aoa$0,1606469756.172935,04:d6:aa:c1:38:97,2,1,1,0,128,259,343,381,759,522,779,778,679,601,844,368,920,744,792,961,40,945,755,1013,457,673,724,226,883,397,881,344,915,662,324,646,272,32,24,23,23,28,35,15,35,31,31,18,24,41,34,36,33,23,8,34,10,18,11,6,20,15,15,18,18,12,2,19,15
[ 113.072920] wil6210-aoa$0,1606469756.200887,04:d6:aa:c1:38:97,2,1,1,0,128,315,428,4,7,19,1005,192,846,578,819,444,966,772,826,974,96,347,581,605,476,186,861,260,884,304,830,441,938,644,268,655,228,32,15,22,25,24,34,17,36,24,38,23,30,31,32,43,22,28,15,18,6,11,13,5,28,19,21,24,26,6,12,19,32
[ 113.097450] wil6210-aoa$0,1606469756.225424,04:d6:aa:c1:38:97,2,1,1,0,128,348,436,953,947,86,1001,229,830,553,801,343,901,803,857,958,87,989,821,1019,289,282,906,166,902,379,903,318,888,613,313,32,543,29,21,20,24,24,35,20,37,25,38,18,33,36,32,47,25,27,14,18,4,13,15,5,32,22,26,28,30,10,17,26,29
[ 113.120465] wil6210-aoa$0,1606469756.248438,04:d6:aa:c1:38:97,2,1,1,0,128,810,220,933,950,129,1014,310,883,637,858,402,939,738,801,907,7,417,645,39,379,218,876,162,915,351,861,832,679,681,314,521,117,28,18,21,24,20,32,16,38,23,32,21,32,35,29,42,23,25,19,13,8,12,13,6,33,20,18,26,25,10,12,19,33
