
[ 2594.935673] wil6210-aoa$0,1606464129.257400,04:d6:aa:6e:cc:84,2,1,1,0,128,316,147,257,675,91,34,360,723,878,39,615,17,757,919,97,289,882,987,486,788,982,737,520,890,104,864,183,819,988,554,456,23,95,97,97,94,98,97,95,95,98,97,95,90,94,96,96,91,94,97,93,88,97,88,91,90,95,89,91,88,90,96,89,88
[ 2594.969873] wil6210-aoa$0,1606464129.291598,04:d6:aa:6e:cc:84,2,1,1,2,128,316,147,257,675,91,34,360,723,878,39,615,17,757,919,97,289,882,987,486,788,982,737,520,890,104,864,183,819,988,554,456,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[ 2595.009174] wil6210-aoa$0,1606464129.330897,04:d6:aa:6e:cc:84,2,1,1,0,128,847,982,374,765,464,820,414,752,767,1001,728,48,834,982,95,288,905,986,496,838,414,920,517,922,606,1005,113,798,464,382,844,417,100,101,99,99,99,98,95,99,99,99,97,94,96,98,96,97,96,97,97,96,96,89,91,94,96,92,94,92,93,96,91,89
[ 2595.045233] wil6210-aoa$0,1606464129.366964,04:d6:aa:6e:cc:84,2,1,1,0,128,369,158,884,935,21,1010,364,715,848,37,172,887,266,788,540,55,889,973,473,839,419,933,514,965,648,32,660,986,989,541,330,966,98,100,100,101,100,101,98,100,99,98,97,95,99,98,96,96,98,101,97,96,98,94,96,96,99,93,98,94,95,96,92,91
[ 2595.082902] wil6210-aoa$0,1606464129.404629,04:d6:aa:6e:cc:84,2,1,1,0,128,843,967,343,737,1012,982,391,722,816,19,748,90,743,934,113,265,884,1008,501,864,484,951,525,932,680,56,691,1012,979,534,568,185,100,99,100,100,101,98,98,100,99,99,98,95,99,99,99,96,97,100,98,96,99,93,95,95,99,96,98,96,96,99,94,94
[ 2595.116911] wil6210-aoa$0,1606464129.438635,04:d6:aa:6e:cc:84,2,1,1,0,128,759,966,889,915,991,945,840,557,277,829,169,884,215,737,109,288,832,949,1001,672,455,935,965,738,681,38,141,801,969,543,1009,663,96,99,98,98,99,96,97,98,98,98,98,95,98,100,98,97,96,98,97,97,97,91,93,95,99,96,97,94,94,97,92,92
[ 2595.158628] wil6210-aoa$0,1606464129.480359,04:d6:aa:6e:cc:84,2,1,1,0,128,348,163,921,967,40,1015,327,691,870,29,704,45,817,955,116,314,890,3,568,886,525,978,527,962,631,33,647,986,891,498,620,286,97,100,100,100,99,99,101,101,100,99,101,99,101,100,101,99,100,101,99,99,102,99,99,102,99,100,100,100,99,100,100,101
[ 2595.195690] wil6210-aoa$0,1606464129.517413,04:d6:aa:6e:cc:84,2,1,1,0,128,373,169,862,912,995,977,498,790,865,44,767,70,781,937,130,340,911,998,572,912,393,906,604,978,653,10,795,59,1003,560,584,93,98,97,100,98,96,95,96,98,98,98,94,90,96,95,94,95,97,96,95,93,95,86,90,90,94,90,91,87,89,92,86,80
[ 2595.233329] wil6210-aoa$0,1606464129.555056,04:d6:aa:6e:cc:84,2,1,1,0,128,772,942,900,955,1,1006,395,709,925,75,732,51,259,762,66,275,822,956,483,863,441,900,492,932,734,70,612,972,981,546,435,77,98,99,102,99,100,100,98,101,101,101,100,97,98,101,99,97,98,99,98,97,98,96,93,93,98,92,97,92,92,97,94,89
[ 2595.266663] wil6210-aoa$0,1606464129.588387,04:d6:aa:6e:cc:84,2,1,1,0,128,346,148,850,912,1008,990,372,711,863,40,117,846,816,968,563,78,911,987,520,834,988,757,547,935,679,66,612,937,4,592,233,807,97,95,99,98,99,101,100,97,98,98,101,101,99,100,101,101,101,99,100,100,101,100,100,102,100,101,101,99,99,99,100,100
