
[ 3723.393653] wil6210-aoa$0,1606465321.834179,04:d6:aa:c1:38:97,2,1,1,0,128,716,740,205,621,884,986,832,187,178,349,90,243,835,103,238,625,893,899,833,668,709,27,685,38,635,150,122,213,385,25,420,128,98,105,103,104,104,106,100,101,105,103,103,93,100,102,104,100,103,102,102,103,96,99,96,99,102,97,95,94,94,99,97,97
[ 3723.432633] wil6210-aoa$0,1606465321.873152,04:d6:aa:c1:38:97,2,1,1,0,128,347,975,755,785,943,1022,430,405,701,231,69,203,795,5,653,387,383,734,377,947,670,999,746,87,188,371,104,231,401,63,567,275,103,102,104,100,103,104,103,101,103,103,104,101,104,102,106,102,103,102,101,99,99,102,101,103,103,102,100,100,100,105,104,105
[ 3723.472951] wil6210-aoa$0,1606465321.913472,04:d6:aa:c1:38:97,2,1,1,0,128,228,898,790,809,889,933,856,181,220,384,169,281,817,50,276,628,954,963,374,918,708,39,703,37,198,340,220,284,337,15,578,394,97,104,102,101,102,101,100,99,103,102,102,93,98,99,102,98,100,100,99,101,93,94,95,96,101,94,96,92,89,96,97,96
[ 3723.515552] wil6210-aoa$0,1606465321.956078,04:d6:aa:c1:38:97,2,1,1,0,128,267,902,799,791,385,819,437,409,211,378,56,185,836,34,166,577,864,919,371,901,158,879,663,6,197,358,82,211,837,905,121,932,87,96,97,95,95,94,91,92,95,93,89,83,88,90,91,88,90,90,89,90,82,83,86,86,84,81,82,81,77,85,82,82
[ 3723.555073] wil6210-aoa$0,1606465321.995597,04:d6:aa:c1:38:97,2,1,1,0,128,313,930,747,784,985,1022,379,337,598,118,538,22,293,935,732,424,988,966,383,883,644,9,615,969,635,108,599,5,394,51,894,707,95,107,105,105,103,102,96,100,104,100,99,91,97,98,100,96,100,99,99,99,90,91,91,92,97,86,88,85,85,92,90,87
[ 3723.594974] wil6210-aoa$0,1606465322.035499,04:d6:aa:c1:38:97,2,1,1,0,128,699,731,766,791,961,1018,431,392,212,410,69,209,786,48,182,566,958,976,404,912,720,66,615,950,183,325,587,2,385,49,167,936,100,103,102,101,106,104,100,101,103,101,101,94,99,101,102,100,99,100,100,99,95,97,94,96,100,94,93,92,92,96,97,95
[ 3723.635776] wil6210-aoa$0,1606465322.076301,04:d6:aa:c1:38:97,2,1,1,0,128,269,914,840,835,897,959,434,412,652,179,547,17,245,881,269,634,968,961,320,886,719,57,146,852,740,217,616,28,343,31,905,621,98,102,101,99,104,103,99,100,103,103,103,97,99,102,103,100,99,104,100,100,97,97,96,97,101,97,99,96,94,100,99,96
[ 3723.677507] wil6210-aoa$0,1606465322.118034,04:d6:aa:c1:38:97,2,1,1,0,128,277,953,770,777,945,998,910,219,193,366,1005,132,817,28,673,391,367,729,823,737,751,40,681,2,221,336,62,170,337,44,703,386,95,102,103,103,99,100,96,99,102,99,98,92,95,98,100,97,100,101,99,100,94,95,94,94,97,90,92,88,90,96,97,91
[ 3723.717503] wil6210-aoa$0,1606465322.158029,04:d6:aa:c1:38:97,2,1,1,0,128,256,911,846,818,943,979,503,441,239,412,91,253,764,50,286,630,921,954,310,894,693,37,669,8,180,357,130,260,324,49,497,238,96,104,103,102,101,101,98,100,103,101,101,94,95,99,101,97,99,99,97,98,92,93,94,96,97,92,94,92,89,97,95,96
[ 3723.757497] wil6210-aoa$0,1606465322.198023,04:d6:aa:c1:38:97,2,1,1,0,128,295,946,788,792,943,990,868,189,155,361,104,227,847,75,146,559,923,934,367,912,735,13,720,36,211,332,64,203,386,56,230,990,92,101,101,103,98,98,95,100,100,97,98,89,90,95,99,96,96,97,96,97,90,88,88,90,96,85,87,85,84,90,87,89
[ 3723.797289] wil6210-aoa$0,1606465322.237812,04:d6:aa:c1:38:97,2,1,1,0,128,315,926,831,827,924,968,454,375,175,369,66,217,829,53,279,657,899,867,295,866,655,1017,709,28,167,331,157,250,307,15,757,481,93,103,102,103,101,97,95,99,99,96,96,86,92,93,98,92,96,97,96,94,88,89,87,87,95,83,84,81,79,87,86,82
[ 3723.837174] wil6210-aoa$0,1606465322.277700,04:d6:aa:c1:38:97,2,1,1,0,128,213,887,280,601,447,872,403,405,674,243,559,38,836,100,198,617,863,946,357,906,168,882,679,27,669,142,563,24,852,908,249,55,94,105,101,101,101,98,98,100,102,100,102,94,96,98,99,96,98,99,98,98,92,93,93,95,99,93,89,89,88,95,91,91
[ 3723.876619] wil6210-aoa$0,1606465322.317140,04:d6:aa:c1:38:97,2,1,1,0,128,309,941,749,777,916,980,358,342,633,177,28,152,883,77,162,527,890,929,337,875,750,59,665,13,234,350,172,238,367,73,899,608,99,101,102,102,102,103,98,100,103,101,101,95,99,98,101,99,101,100,98,98,95,95,93,94,100,92,92,90,89,97,95,93
[ 3723.916568] wil6210-aoa$0,1606465322.357088,04:d6:aa:c1:38:97,2,1,1,0,128,222,852,844,824,949,971,885,213,149,398,41,234,810,60,142,500,338,718,855,726,125,871,713,18,191,323,95,214,301,27,661,452,96,103,102,104,101,99,96,98,103,99,97,88,93,95,96,92,98,96,95,97,88,89,90,90,94,85,85,84,81,87,86,85
