
[ 26.215880] wil6210-aoa$0,1606461625.126492,04:d6:aa:c1:38:97,2,1,1,0,128,359,1020,792,795,905,985,491,485,29,250,979,107,813,9,227,462,973,1019,453,909,667,1008,769,50,33,280,464,23,245,957,1016,714,62,100,96,102,83,81,61,47,95,95,74,41,66,63,114,67,82,63,64,61,41,53,49,55,92,58,61,54,55,84,86,92
[ 26.246977] wil6210-aoa$0,1606461625.157588,04:d6:aa:c1:38:97,2,1,1,0,128,272,970,798,808,970,1013,434,496,4,255,979,137,735,980,192,485,846,973,489,970,717,37,758,41,43,237,1007,212,292,1008,457,133,62,101,95,103,82,82,58,46,96,96,74,39,63,60,115,67,81,65,63,60,41,52,48,55,89,57,61,55,55,83,87,92
[ 26.270537] wil6210-aoa$0,1606461625.181153,04:d6:aa:c1:38:97,2,1,1,0,128,794,779,355,651,964,981,419,486,80,272,960,145,770,964,169,405,887,956,893,681,124,808,183,838,579,95,981,152,279,941,167,942,60,104,97,104,82,81,60,47,97,95,71,35,61,60,109,64,80,65,64,57,40,47,46,52,91,51,58,50,51,80,78,85
[ 26.302513] wil6210-aoa$0,1606461625.213125,04:d6:aa:c1:38:97,2,1,1,0,128,418,17,814,784,16,9,410,483,30,275,873,70,741,998,128,413,887,966,455,952,739,61,748,26,121,326,950,152,278,976,653,409,64,107,101,108,83,82,64,50,97,98,79,38,66,64,116,69,84,67,64,61,41,52,47,55,93,56,61,53,53,83,85,92
[ 26.330662] wil6210-aoa$0,1606461625.241273,04:d6:aa:c1:38:97,2,1,1,0,128,320,993,824,800,962,1001,868,283,512,86,972,170,760,996,659,252,995,20,516,971,697,11,811,66,56,271,8,221,306,9,386,113,64,102,100,107,83,83,61,49,97,97,78,38,64,64,115,69,82,67,65,61,39,50,48,54,91,55,59,55,55,81,80,89
[ 26.358424] wil6210-aoa$0,1606461625.269035,04:d6:aa:c1:38:97,2,1,1,0,128,334,1010,860,822,951,1001,908,319,18,257,918,145,778,982,161,407,929,1009,520,979,641,1022,740,47,109,290,32,278,284,978,676,329,60,99,96,105,78,77,56,45,92,93,71,34,59,58,109,65,76,62,60,55,37,44,41,48,84,50,52,47,47,73,72,76
[ 26.385859] wil6210-aoa$0,1606461625.296475,04:d6:aa:c1:38:97,2,1,1,0,128,357,1009,783,803,928,972,393,435,109,293,891,85,221,845,542,161,971,1021,965,786,673,54,720,37,119,294,1010,213,293,985,4,789,67,106,99,107,84,84,64,48,95,95,76,38,65,60,115,68,81,66,65,61,41,53,50,56,91,56,61,51,55,79,85,90
[ 26.410816] wil6210-aoa$0,1606461625.321428,04:d6:aa:c1:38:97,2,1,1,0,128,311,993,948,868,924,989,507,518,36,249,399,975,270,797,638,207,409,835,884,702,702,21,798,29,44,227,976,175,806,788,335,138,65,102,97,105,83,83,62,47,97,97,74,40,65,65,115,68,84,66,67,63,42,54,51,56,92,57,63,55,57,84,87,93
[ 26.440704] wil6210-aoa$0,1606461625.351316,04:d6:aa:c1:38:97,2,1,1,0,128,303,1011,264,604,404,789,380,453,505,100,997,148,269,834,645,267,959,1011,402,873,701,33,736,22,130,261,53,251,281,1004,659,423,66,106,99,105,82,81,64,49,97,99,75,37,62,62,114,66,81,66,64,60,41,51,47,51,89,51,58,49,52,79,77,81
[ 26.463875] wil6210-aoa$0,1606461625.374492,04:d6:aa:c1:38:97,2,1,1,0,128,356,2,751,742,460,787,407,435,24,262,918,96,773,1005,155,412,867,988,444,902,630,1000,700,8,47,253,978,191,285,977,143,878,63,104,99,105,81,79,60,48,95,94,75,36,60,59,111,65,79,62,62,59,39,50,46,53,91,51,57,51,53,75,77,84
